,frequency,frequency_ham,frequency_spam
document,174,125,49
case,174,101,73
equistar,174,174,0
full,174,53,121
expir,174,151,23
ad,173,129,44
partner,173,100,73
better,173,85,88
got,172,105,67
announc,171,67,104
respect,171,56,115
amount,171,144,27
fred,171,170,1
expens,171,109,62
suit,171,94,77
citi,170,94,76
sherlyn,170,170,0
thought,170,121,49
assign,170,160,10
storag,169,133,36
prescript,169,1,168
adob,168,2,166
return,167,122,45
entex,166,166,0
alreadi,166,118,48
morn,166,138,28
distribut,165,111,54
open,165,96,69
remain,165,132,33
might,165,107,58
involv,165,65,100
sever,165,125,40
view,164,91,73
clear,164,138,26
qualiti,164,43,121
ee,163,163,0
facil,163,142,21
src,163,0,163
scott,162,155,7
tess,162,160,2
reserv,161,106,55
bank,161,37,124
clem,161,161,0
download,161,54,107
watch,159,31,128
darren,159,159,0
exchang,159,91,68
redeliveri,159,159,0
coastal,159,158,1
credit,159,78,81
canada,158,70,88
newslett,157,17,140
littl,157,84,73
suggest,157,102,55
hold,156,67,89
zone,156,94,62
cut,155,127,28
ray,155,152,3
valley,155,153,2
calpin,155,155,0
pass,155,82,73
alway,155,66,89
refer,155,97,58
ciali,154,0,154
brenda,154,153,1
valu,154,95,59
reason,154,76,78
action,154,42,112
transfer,153,42,111
tomorrow,153,149,4
real,153,50,103
yahoo,153,104,49
comput,152,47,105
stephani,152,149,3
never,152,68,84
ce,152,145,7
impact,151,123,28
html,151,22,129
around,150,108,42
game,150,84,66
everyon,150,112,38
opportun,150,75,75
gco,150,150,0
immedi,150,67,83
midcon,150,150,0
server,150,62,88
aep,150,150,0
lauri,149,146,3
someth,148,118,30
loss,148,75,73
ranch,148,147,1
donna,148,147,1
later,148,119,29
second,148,65,83
associ,148,111,37
solut,148,48,100
cotton,148,145,3
stacey,147,146,1
fill,147,92,55
head,147,94,53
richard,147,139,8
weekend,147,110,37
donald,147,144,3
parker,146,142,4
big,146,100,46
karen,146,145,1
commerci,146,70,76
effort,146,86,60
drug,145,0,145
appear,144,111,33
promot,144,76,68
yet,144,116,28
acton,144,143,1
wish,144,48,96
anyon,144,111,33
word,144,51,93
network,144,50,94
cash,144,56,88
properti,143,42,101
rodriguez,143,142,1
investor,143,23,120
arrang,143,118,25
play,143,73,70
outag,143,143,0
miss,143,120,23
necessari,143,92,51
unsubscrib,143,70,73
level,142,94,48
prepar,142,115,27
lst,142,123,19
hotmail,141,135,6
med,141,0,141
box,140,73,67
beaumont,140,137,3
termin,140,119,21
soft,140,0,140
publish,140,19,121
life,139,31,108
east,139,116,23
stone,139,129,10
recent,139,59,80
sept,139,138,1
asset,138,106,32
jim,138,136,2
left,137,104,33
vlt,137,136,1
cornhusk,137,137,0
central,137,111,26
sign,137,73,64
countri,136,37,99
feedback,136,132,4
cynthia,136,134,2
charli,136,130,6
carthag,135,132,3
consid,135,44,91
shut,135,129,6
fund,135,29,106
accept,134,50,84
member,134,81,53
owner,133,79,54
legal,133,92,41
style,133,7,126
connect,133,74,59
victor,133,133,0
verifi,133,118,15
portfolio,132,103,29
version,132,75,57
thoma,132,120,12
third,132,52,80
settlement,132,127,5
dave,132,129,3
easi,131,32,99
schumack,131,131,0
receipt,131,105,26
found,131,77,54
presid,130,90,40
friend,130,69,61
execut,130,93,37
claim,130,21,109
tell,129,86,43
success,129,65,64
approxim,129,97,32
major,128,37,91
titl,128,20,108
drive,128,40,88
identifi,128,60,68
write,128,66,62
hess,128,126,2
reinhardt,128,128,0
balanc,127,111,16
care,127,72,55
luong,127,127,0
ken,127,126,1
star,127,101,26
determin,127,109,18
basi,127,110,17
bring,127,83,44
design,127,50,77
retail,127,24,103
edward,127,122,5
small,127,65,62
resolv,126,122,4
answer,126,97,29
union,126,116,10
jeff,126,121,5
happen,126,81,45
rememb,126,62,64
fix,125,77,48
night,125,90,35
late,125,64,61
roll,125,117,8
wait,125,61,64
channel,124,80,44
director,124,62,62
profil,124,20,104
cheryl,124,123,1
appreci,124,114,10
guarante,123,19,104
lsk,123,123,0
probabl,123,103,20
hplnl,122,122,0
herod,122,122,0
man,122,40,82
albrecht,122,120,2
side,121,68,53
normal,121,35,86
potenti,121,57,64
reduc,121,83,38
express,121,36,85
specif,121,85,36
methanol,121,121,0
exxon,120,116,4
dow,120,108,12
particip,120,71,49
mention,120,81,39
lead,120,65,55
papayoti,119,119,0
white,119,89,30
decid,119,62,57
train,119,111,8
sorri,119,108,11
live,119,52,67
realli,118,64,54
statu,118,107,11
capit,118,73,45
mid,118,100,18
target,118,14,104
paliourg,118,0,118
south,117,64,53
monthli,117,99,18
depart,117,50,67
bryan,117,117,0
turn,117,56,61
password,117,103,14
dfarmer,117,117,0
togeth,116,96,20
pro,116,1,115
edit,116,27,89
lamphier,116,116,0
privat,115,27,88
tab,115,27,88
travel,115,77,38
brand,115,10,105
code,115,69,46
valero,115,115,0
lot,115,41,74
physic,114,99,15
format,114,32,82
thousand,114,9,105
growth,114,32,82
flash,114,74,40
join,114,78,36
bridg,113,93,20
everyth,113,65,48
anticip,113,20,93
print,113,90,23
financ,113,25,88
submit,113,104,9
shop,113,62,51
hear,113,81,32
card,112,42,70
notifi,112,103,9
strong,112,12,100
health,112,5,107
text,112,26,86
voip,112,0,112
doctor,112,10,102
cleburn,112,112,0
trader,112,104,8
jennif,111,108,3
becom,111,48,63
reach,111,57,54
ltd,111,84,27
longer,111,63,48
purpos,111,65,46
learn,111,50,61
baumbach,111,111,0
revenu,110,24,86
build,110,62,48
janet,110,107,3
guy,110,86,24
poorman,110,110,0
neal,110,109,1
mailto,110,98,12
afternoon,110,108,2
devon,109,108,1
latest,109,52,57
individu,108,74,34
short,108,67,41
duti,108,17,91
china,108,4,104
test,108,68,40
leav,108,81,27
liz,108,108,0
matter,108,61,47
kind,107,39,68
improv,107,37,70
koch,107,106,1
experi,107,53,54
usa,107,43,64
stay,107,80,27
hard,107,40,67
london,106,90,16
given,106,60,46
eol,106,106,0
oasi,106,105,1
etc,106,72,34
readi,106,67,39
enhanc,106,48,58
php,106,0,106
occur,106,59,47
exist,106,70,36
stack,106,104,2
awar,106,55,51
lsp,105,105,0
dealer,105,1,104
bgcolor,105,0,105
waha,105,105,0
pain,105,4,101
minut,104,29,75
load,104,53,51
stella,103,101,2
staff,103,83,20
ensur,103,82,21
mcf,103,99,4
packag,103,59,44
affili,103,38,65
confidenti,103,50,53
plu,103,53,50
sandi,102,101,1
noth,102,43,59
key,102,58,44
gain,102,34,68
voic,102,55,47
riley,102,102,0
worldwid,102,23,79
factor,101,33,68
sat,101,80,21
enrononlin,101,101,0
told,101,82,19
accord,101,70,31
browser,101,22,79
green,101,69,32
nation,101,35,66
enserch,101,101,0
lone,101,92,9
subscrib,101,21,80
apach,100,96,4
chanc,100,71,29
profit,100,27,73
propos,99,66,33
prize,99,44,55
initi,99,65,34
light,99,51,48
quick,99,38,61
larg,99,31,68
directli,99,72,27
sold,99,65,34
hall,98,97,1
park,98,88,10
cernosek,98,98,0
press,98,19,79
stranger,98,97,1
vacat,98,90,8
aepin,97,97,0
kevin,97,96,1
away,97,49,48
video,97,24,73
comment,97,90,7
step,97,71,26
room,97,76,21
king,96,81,15
discount,96,27,69
appli,96,69,27
nov,96,87,9
bellami,96,94,2
quot,95,54,41
enjoy,95,50,45
gif,95,2,93
function,95,83,12
ali,95,3,92
measur,95,72,23
spoke,95,92,3
teja,95,95,0
condit,95,54,41
idea,94,71,23
hey,94,57,37
men,94,10,84
bodi,94,6,88
lose,94,10,84
wither,94,93,1
benefit,94,43,51
abil,94,52,42
dear,94,38,56
saturday,94,94,0
instruct,93,32,61
feder,93,16,77
hill,93,83,10
age,93,19,74
morri,93,92,1
tabl,93,17,76
jpg,92,19,73
boa,92,91,1
charlott,92,86,6
biz,92,0,92
interconnect,92,92,0
standard,92,60,32
object,92,37,55
though,92,65,27
forc,92,63,29
pull,92,76,16
whole,91,73,18
middl,91,19,72
commit,91,67,24
certain,91,22,69
happi,91,38,53
weight,91,3,88
class,91,64,27
referenc,91,71,20
opinion,91,24,67
choos,90,38,52
elizabeth,90,87,3
spam,90,1,89
seek,90,11,79
player,89,62,27
taken,89,59,30
capac,89,77,12
mccoy,89,88,1
beverli,89,85,4
earli,89,71,18
complianc,89,10,79
convers,89,59,30
match,89,59,30
protect,89,26,63
analyst,89,79,10
draft,89,85,4
music,89,30,59
oct,89,84,5
american,89,43,46
store,88,34,54
research,88,43,45
superti,88,88,0
upon,88,45,43
avila,88,88,0
easttexa,88,88,0
advanc,88,37,51
bruce,88,87,1
databas,88,48,40
eric,88,79,9
safe,88,20,68
land,88,54,34
nguyen,87,86,1
hesco,87,87,0
lamadrid,87,87,0
attent,87,44,43
cdnow,87,87,0
girl,87,14,73
shell,87,60,27
coupl,86,71,15
herrera,86,86,0
pictur,86,53,33
carri,86,39,47
electr,86,52,34
salli,86,83,3
four,86,35,51
walker,86,85,1
other,86,54,32
gpgfin,86,86,0
monitor,86,68,18
hakemack,86,86,0
god,86,56,30
spring,86,72,14
took,86,58,28
consult,86,15,71
pool,85,78,7
vol,85,78,7
non,85,60,25
dan,85,76,9
sun,85,55,30
entir,85,55,30
kill,85,53,32
tammi,85,84,1
agent,85,43,42
earl,84,80,4
enough,84,50,34
super,84,7,77
quantiti,84,61,23
tina,84,82,2
paso,84,84,0
affect,84,62,22
hello,84,20,64
mind,84,40,44
excess,84,66,18
johnson,84,78,6
averag,83,54,29
sunday,83,70,13
mar,83,66,17
fast,83,23,60
model,83,47,36
reader,83,1,82
post,83,62,21
eileen,82,82,0
uncertainti,82,3,79
govern,82,23,59
lower,82,46,36
earn,82,31,51
kc,82,82,0
licens,81,10,71
respond,81,70,11
cheap,81,2,79
hub,81,78,3
pick,81,39,42
img,80,0,80
school,80,56,24
expedia,80,79,1
perfect,80,18,62
terri,80,77,3
wide,80,12,68
organ,80,52,28
reliantenergi,80,80,0
pharmaci,80,0,80
photoshop,80,0,80
acquisit,80,15,65
phillip,80,77,3
simpli,80,36,44
entri,80,66,14
plain,79,24,55
assum,79,77,2
tel,79,17,62
role,79,73,6
went,79,59,20
valign,79,0,79
half,78,29,49
air,78,37,41
black,78,48,30
consum,78,30,48
kimberli,78,77,1
sex,78,1,77
seem,78,60,18
button,78,50,28
rebecca,78,77,1
enw,77,77,0
ponton,77,77,0
tool,77,37,40
leader,77,30,47
shown,77,29,48
broker,77,40,37
transit,77,70,7
coordin,77,63,14
gome,77,77,0
attend,77,64,13
enerfin,76,76,0
draw,76,11,65
intrast,76,76,0
btu,76,75,1
appropri,76,68,8
cell,76,66,10
yesterday,76,68,8
gulf,76,73,3
christi,76,74,2
histori,76,29,47
administr,76,55,21
neon,75,75,0
gift,75,52,23
ext,75,68,7
dynegi,75,75,0
mop,75,74,1
goal,75,32,43
blue,75,60,15
competit,75,16,59
htm,74,30,44
tisdal,74,74,0
ceo,74,45,29
san,74,44,30
div,74,0,74
stori,74,20,54
relief,74,20,54
hot,74,8,66
matt,74,66,8
rest,74,49,25
river,74,53,21
ye,73,52,21
none,73,23,50
moopid,73,0,73
tetco,73,73,0
resum,73,68,5
sheet,73,53,20
assur,73,12,61
counti,73,63,10
dell,73,26,47
instal,73,47,26
hotlist,73,0,73
recommend,72,24,48
grant,72,66,6
epson,72,2,70
mckay,72,72,0
near,72,31,41
quit,72,22,50
paper,72,42,30
advantag,72,23,49
situat,72,60,12
jill,72,70,2
integr,71,19,52
negoti,71,37,34
asap,71,68,3
hous,71,28,43
greater,71,55,16
digit,71,15,56
kim,71,64,7
neuweil,71,71,0
structur,71,53,18
chad,71,68,3
copano,71,71,0
ago,71,37,34
fine,71,46,25
california,71,56,15
fwd,71,46,25
cours,71,43,28
stephen,70,67,3
whether,70,55,15
mill,70,64,6
charlen,70,70,0
delta,70,52,18
holm,70,69,1
job,70,53,17
dvd,70,8,62
fun,70,34,36
agenc,70,53,17
excit,70,42,28
search,69,20,49
gtc,69,69,0
fare,69,64,5
exampl,69,30,39
previous,69,61,8
held,69,46,23
louisiana,69,59,10
paragraph,69,26,43
rule,69,44,25
sincer,69,27,42
mine,69,8,61
daniel,69,67,2
five,69,32,37
drill,69,30,39
heidi,68,68,0
collect,68,37,31
compar,68,13,55
exactli,68,9,59
rick,68,68,0
panenergi,68,68,0
instant,68,14,54
petroleum,68,51,17
decis,68,33,35
htmlimg,68,0,68
tufco,68,68,0
greg,68,67,1
heard,68,47,21
kelli,68,68,0
xanax,68,0,68
outstand,68,34,34
svc,68,66,2
chri,68,67,1
bad,68,30,38
media,68,22,46
olsen,68,68,0
histor,67,34,33
colspan,67,0,67
linda,67,65,2
common,67,40,27
manual,67,41,26
senior,67,52,15
stand,67,42,25
holiday,67,50,17
serv,67,44,23
valadez,67,67,0
prefer,67,37,30
evergreen,66,63,3
pinion,66,65,1
southern,66,56,10
walter,66,60,6
certif,66,53,13
environ,66,48,18
grow,66,16,50
region,66,37,29
entiti,66,52,14
corel,66,0,66
multipl,66,33,33
morgan,65,61,4
invit,65,43,22
macromedia,65,0,65
variou,65,32,33
advertis,65,5,60
assumpt,65,13,52
station,65,56,9
west,65,48,17
bid,65,62,3
similar,65,36,29
exclus,65,16,49
welcom,65,48,17
quarter,65,23,42
rolex,65,0,65
eye,65,31,34
compens,65,8,57
liquid,65,45,20
prc,65,60,5
bit,64,31,33
est,64,26,38
brown,64,57,7
local,64,17,47
author,64,33,31
valium,64,0,64
knle,64,0,64
cass,64,64,0
hotel,64,50,14
polici,64,46,18
owe,64,52,12
fri,64,50,14
hundr,64,7,57
car,64,22,42
analysi,64,56,8
annual,64,22,42
came,64,41,23
huge,63,7,56
dth,63,63,0
categori,63,18,45
acquir,63,9,54
foreign,63,4,59
unaccount,63,63,0
brazo,63,63,0
advisor,63,17,46
women,63,5,58
avoid,63,25,38
summari,63,59,4
spinnak,63,61,2
worth,63,21,42
conflict,62,12,50
export,62,0,62
epgt,62,62,0
expand,62,31,31
clean,62,53,9
demokrito,62,0,62
winfre,62,62,0
obtain,62,33,29
wast,62,3,59
iit,62,0,62
correctli,62,60,2
red,62,28,34
trevino,62,61,1
paul,62,58,4
intel,62,0,62
aug,62,47,15
dalla,62,57,5
board,61,41,20
bought,61,34,27
column,61,56,5
pre,61,32,29
delet,61,53,8
reveffo,61,61,0
remind,61,48,13
die,61,5,56
own,61,30,31
across,61,50,11
troy,61,61,0
maintain,61,42,19
crosstex,61,61,0
calendar,61,50,11
extens,61,44,17
sharehold,61,9,52
enterpris,61,12,49
ricki,61,58,3
door,61,13,48
win,61,16,45
instead,61,46,15
wholesal,61,48,13
kenneth,61,53,8
goe,61,38,23
erect,60,0,60
prod,60,59,1
lonestar,60,60,0
known,60,8,52
jackson,60,57,3
martin,60,54,6
sec,60,12,48
hanson,60,57,3
alert,60,6,54
focu,60,41,19
usag,60,46,14
buyer,60,55,5
chairman,60,49,11
higher,60,32,28
logo,60,4,56
educ,60,26,34
europ,60,30,30
registr,60,40,20
broadband,60,29,31
ibm,60,2,58
screen,60,38,22
realloc,60,60,0
combin,59,33,26
descript,59,38,21
cpr,59,59,0
calcul,59,37,22
committe,59,50,9
mtr,59,59,0
input,59,55,4
llc,59,47,12
apr,59,49,10
least,59,40,19
wrong,59,38,21
award,59,18,41
schneider,59,57,2
congratul,59,20,39
specul,59,0,59
golf,59,57,2
launch,59,43,16
ew,59,59,0
encina,59,59,0
along,59,42,17
yvett,58,56,2
wilson,58,38,20
creativ,58,3,55
csiko,58,58,0
archer,58,56,2
trademark,58,10,48
mainten,58,53,5
cross,58,40,18
elect,58,52,6
lake,58,45,13
texaco,58,55,3
speed,58,21,37
trip,58,41,17
iii,58,11,47
recipi,58,56,2
altern,58,30,28
gold,58,1,57
harri,58,52,6
goliad,58,58,0
varianc,58,58,0
equip,58,35,23
hit,57,43,14
drop,57,33,24
peni,57,1,56
basin,57,39,18
rank,57,37,20
jeffrey,57,56,1
billion,57,16,41
parent,57,40,17
contribut,57,42,15
wed,57,34,23
primari,57,44,13
pager,57,57,0
notif,57,26,31
road,57,34,23
mcmill,56,56,0
law,56,24,32
interview,56,50,6
break,56,17,39
discrep,56,53,3
treat,56,23,33
strategi,56,15,41
transmiss,56,42,14
engag,56,50,6
rnd,56,0,56
usb,56,3,53
street,56,35,21
bankruptci,56,32,24
captur,56,46,10
patti,56,55,1
sexual,56,2,54
children,56,13,43
russ,56,55,1
rang,56,20,36
afford,55,10,45
royal,55,50,5
movi,55,5,50
beati,55,55,0
critic,55,42,13
marta,55,55,0
gdp,55,55,0
intent,55,17,38
jebel,55,0,55
sullivan,55,51,4
solicit,55,4,51
brandywin,55,53,2
hillari,55,55,0
met,55,42,13
coupon,55,26,29
swift,55,53,2
kristen,55,55,0
implement,54,47,7
floor,54,45,9
seen,54,26,28
preliminari,54,53,1
compaq,54,13,41
sweeney,54,54,0
walli,54,53,1
ook,54,0,54
wife,54,12,42
budget,54,42,12
sit,54,38,16
automat,54,33,21
far,54,36,18
henderson,54,54,0
experienc,54,32,22
eb,54,54,0
hernandez,54,54,0
procedur,54,36,18
gisb,54,54,0
replac,54,49,5
percent,54,18,36
port,54,24,30
quickli,54,18,36
texoma,54,54,0
upgrad,54,29,25
extra,54,23,31
popular,54,3,51
gave,53,46,7
inher,53,1,52
guess,53,40,13
cd,53,6,47
baxter,53,52,1
seaman,53,53,0
sabra,53,52,1
mitchel,53,52,1
insid,53,15,38
hawkin,53,52,1
citibank,53,20,33
rais,53,21,32
spend,53,26,27
hand,53,27,26
mazowita,52,52,0
elimin,52,32,20
father,52,17,35
accomplish,52,42,10
herein,52,11,41
buddi,52,44,8
season,52,37,15
wireless,52,3,49
sport,52,10,42
deposit,52,4,48
singl,52,25,27
telephon,52,15,37
cap,52,17,35
earlier,52,43,9
kathi,52,50,2
memo,52,52,0
alt,52,0,52
lindley,52,52,0
signific,52,32,20
uniqu,52,3,49
client,51,18,33
yap,51,0,51
restrict,51,44,7
pgev,51,51,0
mayb,51,42,9
emerg,51,14,37
gra,51,1,50
joann,51,51,0
amazon,51,45,6
toward,51,21,30
log,51,45,6
extern,51,27,24
warn,51,26,25
privaci,51,21,30
equiti,51,22,29
six,51,27,24
sap,51,49,2
commod,50,42,8
separ,50,44,6
soni,50,4,46
highli,50,9,41
lowest,50,9,41
confer,50,27,23
insur,50,29,21
inch,50,6,44
smoke,50,2,48
chemic,50,42,8
darial,50,0,50
canon,50,0,50
outsid,50,40,10
econom,50,29,21
discov,50,12,38
correspond,50,26,24
centana,50,50,0
hull,50,49,1
kinsey,50,50,0
suzann,50,50,0
dilig,50,13,37
wonder,50,27,23
among,50,22,28
somehow,50,6,44
art,49,10,39
pertain,49,5,44
attempt,49,34,15
charl,49,43,6
cabl,49,10,39
urgent,49,17,32
juno,49,47,2
minimum,49,32,17
commiss,49,31,18
true,49,28,21
behalf,49,38,11
richmond,49,47,2
electron,49,33,16
achiev,49,15,34
sound,49,27,22
clearanc,48,3,45
bottom,48,15,33
steven,48,40,8
migrat,48,48,0
gottlob,48,48,0
msn,48,46,2
hplnol,48,48,0
establish,48,22,26
accuraci,48,12,36
bryce,48,47,1
decreas,48,41,7
davi,48,34,14
diamond,48,13,35
cartwheel,48,46,2
reliabl,48,9,39
realiz,48,37,11
carrier,48,27,21
austin,48,47,1
fat,48,3,45
mix,48,12,36
understood,48,10,38
rather,48,37,11
membership,48,23,25
manufactur,48,1,47
pena,48,48,0
baseload,48,48,0
