,frequency,frequency_ham,frequency_spam
full,174,53,121
equistar,174,174,0
expir,174,151,23
case,174,101,73
item,174,153,21
partner,173,100,73
ad,173,129,44
better,173,85,88
got,172,105,67
suit,171,94,77
fred,171,170,1
respect,171,56,115
expens,171,109,62
announc,171,67,104
amount,171,144,27
citi,170,94,76
assign,170,160,10
sherlyn,170,170,0
thought,170,121,49
prescript,169,1,168
storag,169,133,36
adob,168,2,166
return,167,122,45
alreadi,166,118,48
entex,166,166,0
morn,166,138,28
might,165,107,58
sever,165,125,40
distribut,165,111,54
open,165,96,69
involv,165,65,100
remain,165,132,33
qualiti,164,43,121
clear,164,138,26
view,164,91,73
facil,163,142,21
ee,163,163,0
src,163,0,163
scott,162,155,7
tess,162,160,2
reserv,161,106,55
bank,161,37,124
download,161,54,107
clem,161,161,0
credit,159,78,81
exchang,159,91,68
coastal,159,158,1
darren,159,159,0
watch,159,31,128
redeliveri,159,159,0
canada,158,70,88
newslett,157,17,140
suggest,157,102,55
littl,157,84,73
hold,156,67,89
zone,156,94,62
cut,155,127,28
alway,155,66,89
pass,155,82,73
calpin,155,155,0
ray,155,152,3
refer,155,97,58
valley,155,153,2
ciali,154,0,154
reason,154,76,78
action,154,42,112
valu,154,95,59
brenda,154,153,1
transfer,153,42,111
real,153,50,103
tomorrow,153,149,4
yahoo,153,104,49
comput,152,47,105
stephani,152,149,3
never,152,68,84
ce,152,145,7
html,151,22,129
impact,151,123,28
around,150,108,42
game,150,84,66
server,150,62,88
opportun,150,75,75
gco,150,150,0
immedi,150,67,83
aep,150,150,0
everyon,150,112,38
midcon,150,150,0
lauri,149,146,3
someth,148,118,30
ranch,148,147,1
second,148,65,83
donna,148,147,1
cotton,148,145,3
later,148,119,29
associ,148,111,37
loss,148,75,73
solut,148,48,100
donald,147,144,3
head,147,94,53
stacey,147,146,1
weekend,147,110,37
richard,147,139,8
fill,147,92,55
parker,146,142,4
effort,146,86,60
commerci,146,70,76
big,146,100,46
karen,146,145,1
drug,145,0,145
promot,144,76,68
network,144,50,94
wish,144,48,96
acton,144,143,1
yet,144,116,28
appear,144,111,33
cash,144,56,88
word,144,51,93
anyon,144,111,33
necessari,143,92,51
arrang,143,118,25
miss,143,120,23
investor,143,23,120
unsubscrib,143,70,73
rodriguez,143,142,1
properti,143,42,101
outag,143,143,0
play,143,73,70
level,142,94,48
prepar,142,115,27
lst,142,123,19
hotmail,141,135,6
med,141,0,141
soft,140,0,140
publish,140,19,121
box,140,73,67
beaumont,140,137,3
termin,140,119,21
sept,139,138,1
life,139,31,108
recent,139,59,80
stone,139,129,10
east,139,116,23
asset,138,106,32
jim,138,136,2
vlt,137,136,1
left,137,104,33
central,137,111,26
sign,137,73,64
cornhusk,137,137,0
countri,136,37,99
charli,136,130,6
cynthia,136,134,2
feedback,136,132,4
carthag,135,132,3
consid,135,44,91
shut,135,129,6
fund,135,29,106
accept,134,50,84
member,134,81,53
legal,133,92,41
victor,133,133,0
verifi,133,118,15
style,133,7,126
connect,133,74,59
owner,133,79,54
third,132,52,80
portfolio,132,103,29
thoma,132,120,12
dave,132,129,3
version,132,75,57
settlement,132,127,5
easi,131,32,99
found,131,77,54
schumack,131,131,0
receipt,131,105,26
claim,130,21,109
friend,130,69,61
presid,130,90,40
execut,130,93,37
approxim,129,97,32
success,129,65,64
tell,129,86,43
drive,128,40,88
major,128,37,91
write,128,66,62
titl,128,20,108
hess,128,126,2
identifi,128,60,68
reinhardt,128,128,0
basi,127,110,17
small,127,65,62
determin,127,109,18
design,127,50,77
star,127,101,26
care,127,72,55
retail,127,24,103
bring,127,83,44
balanc,127,111,16
ken,127,126,1
luong,127,127,0
edward,127,122,5
union,126,116,10
answer,126,97,29
happen,126,81,45
resolv,126,122,4
jeff,126,121,5
rememb,126,62,64
night,125,90,35
fix,125,77,48
roll,125,117,8
late,125,64,61
wait,125,61,64
cheryl,124,123,1
channel,124,80,44
director,124,62,62
appreci,124,114,10
profil,124,20,104
lsk,123,123,0
probabl,123,103,20
guarante,123,19,104
herod,122,122,0
hplnl,122,122,0
man,122,40,82
albrecht,122,120,2
specif,121,85,36
potenti,121,57,64
side,121,68,53
express,121,36,85
methanol,121,121,0
normal,121,35,86
reduc,121,83,38
exxon,120,116,4
lead,120,65,55
particip,120,71,49
dow,120,108,12
mention,120,81,39
papayoti,119,119,0
live,119,52,67
white,119,89,30
decid,119,62,57
train,119,111,8
sorri,119,108,11
mid,118,100,18
paliourg,118,0,118
realli,118,64,54
target,118,14,104
statu,118,107,11
capit,118,73,45
bryan,117,117,0
turn,117,56,61
dfarmer,117,117,0
depart,117,50,67
south,117,64,53
monthli,117,99,18
password,117,103,14
lamphier,116,116,0
togeth,116,96,20
pro,116,1,115
edit,116,27,89
privat,115,27,88
valero,115,115,0
travel,115,77,38
tab,115,27,88
brand,115,10,105
lot,115,41,74
code,115,69,46
format,114,32,82
join,114,78,36
physic,114,99,15
growth,114,32,82
flash,114,74,40
thousand,114,9,105
anticip,113,20,93
submit,113,104,9
hear,113,81,32
everyth,113,65,48
financ,113,25,88
bridg,113,93,20
shop,113,62,51
print,113,90,23
strong,112,12,100
health,112,5,107
card,112,42,70
voip,112,0,112
text,112,26,86
notifi,112,103,9
doctor,112,10,102
trader,112,104,8
cleburn,112,112,0
reach,111,57,54
baumbach,111,111,0
longer,111,63,48
becom,111,48,63
purpos,111,65,46
jennif,111,108,3
ltd,111,84,27
learn,111,50,61
janet,110,107,3
neal,110,109,1
afternoon,110,108,2
revenu,110,24,86
mailto,110,98,12
poorman,110,110,0
guy,110,86,24
build,110,62,48
devon,109,108,1
latest,109,52,57
test,108,68,40
china,108,4,104
leav,108,81,27
individu,108,74,34
short,108,67,41
matter,108,61,47
duti,108,17,91
liz,108,108,0
experi,107,53,54
koch,107,106,1
hard,107,40,67
stay,107,80,27
kind,107,39,68
usa,107,43,64
improv,107,37,70
readi,106,67,39
london,106,90,16
occur,106,59,47
etc,106,72,34
stack,106,104,2
php,106,0,106
eol,106,106,0
oasi,106,105,1
enhanc,106,48,58
exist,106,70,36
awar,106,55,51
given,106,60,46
pain,105,4,101
bgcolor,105,0,105
lsp,105,105,0
waha,105,105,0
dealer,105,1,104
minut,104,29,75
load,104,53,51
mcf,103,99,4
staff,103,83,20
ensur,103,82,21
plu,103,53,50
confidenti,103,50,53
packag,103,59,44
affili,103,38,65
stella,103,101,2
worldwid,102,23,79
riley,102,102,0
voic,102,55,47
noth,102,43,59
gain,102,34,68
key,102,58,44
sandi,102,101,1
told,101,82,19
factor,101,33,68
accord,101,70,31
lone,101,92,9
browser,101,22,79
nation,101,35,66
green,101,69,32
sat,101,80,21
enserch,101,101,0
enrononlin,101,101,0
subscrib,101,21,80
chanc,100,71,29
apach,100,96,4
profit,100,27,73
quick,99,38,61
larg,99,31,68
initi,99,65,34
sold,99,65,34
propos,99,66,33
prize,99,44,55
light,99,51,48
directli,99,72,27
park,98,88,10
stranger,98,97,1
vacat,98,90,8
press,98,19,79
cernosek,98,98,0
hall,98,97,1
away,97,49,48
kevin,97,96,1
step,97,71,26
room,97,76,21
aepin,97,97,0
comment,97,90,7
video,97,24,73
discount,96,27,69
appli,96,69,27
king,96,81,15
nov,96,87,9
bellami,96,94,2
function,95,83,12
ali,95,3,92
quot,95,54,41
measur,95,72,23
enjoy,95,50,45
spoke,95,92,3
condit,95,54,41
teja,95,95,0
gif,95,2,93
bodi,94,6,88
benefit,94,43,51
wither,94,93,1
abil,94,52,42
hey,94,57,37
men,94,10,84
saturday,94,94,0
dear,94,38,56
lose,94,10,84
idea,94,71,23
hill,93,83,10
age,93,19,74
feder,93,16,77
tabl,93,17,76
morri,93,92,1
instruct,93,32,61
forc,92,63,29
object,92,37,55
boa,92,91,1
charlott,92,86,6
pull,92,76,16
though,92,65,27
biz,92,0,92
standard,92,60,32
interconnect,92,92,0
jpg,92,19,73
whole,91,73,18
middl,91,19,72
certain,91,22,69
class,91,64,27
referenc,91,71,20
commit,91,67,24
opinion,91,24,67
weight,91,3,88
happi,91,38,53
seek,90,11,79
choos,90,38,52
elizabeth,90,87,3
spam,90,1,89
analyst,89,79,10
capac,89,77,12
match,89,59,30
american,89,43,46
player,89,62,27
mccoy,89,88,1
taken,89,59,30
oct,89,84,5
beverli,89,85,4
complianc,89,10,79
convers,89,59,30
protect,89,26,63
music,89,30,59
earli,89,71,18
draft,89,85,4
avila,88,88,0
databas,88,48,40
eric,88,79,9
research,88,43,45
bruce,88,87,1
land,88,54,34
superti,88,88,0
upon,88,45,43
advanc,88,37,51
store,88,34,54
safe,88,20,68
easttexa,88,88,0
hesco,87,87,0
girl,87,14,73
lamadrid,87,87,0
shell,87,60,27
nguyen,87,86,1
cdnow,87,87,0
attent,87,44,43
consult,86,15,71
carri,86,39,47
salli,86,83,3
pictur,86,53,33
gpgfin,86,86,0
walker,86,85,1
hakemack,86,86,0
god,86,56,30
herrera,86,86,0
spring,86,72,14
electr,86,52,34
monitor,86,68,18
took,86,58,28
coupl,86,71,15
other,86,54,32
four,86,35,51
kill,85,53,32
sun,85,55,30
vol,85,78,7
entir,85,55,30
tammi,85,84,1
pool,85,78,7
agent,85,43,42
non,85,60,25
dan,85,76,9
enough,84,50,34
mind,84,40,44
quantiti,84,61,23
earl,84,80,4
johnson,84,78,6
super,84,7,77
excess,84,66,18
paso,84,84,0
hello,84,20,64
affect,84,62,22
tina,84,82,2
post,83,62,21
sunday,83,70,13
fast,83,23,60
mar,83,66,17
model,83,47,36
averag,83,54,29
reader,83,1,82
govern,82,23,59
earn,82,31,51
lower,82,46,36
eileen,82,82,0
kc,82,82,0
uncertainti,82,3,79
pick,81,39,42
licens,81,10,71
respond,81,70,11
hub,81,78,3
cheap,81,2,79
phillip,80,77,3
perfect,80,18,62
terri,80,77,3
organ,80,52,28
pharmaci,80,0,80
expedia,80,79,1
entri,80,66,14
school,80,56,24
acquisit,80,15,65
photoshop,80,0,80
wide,80,12,68
simpli,80,36,44
reliantenergi,80,80,0
img,80,0,80
role,79,73,6
valign,79,0,79
went,79,59,20
assum,79,77,2
plain,79,24,55
tel,79,17,62
kimberli,78,77,1
button,78,50,28
seem,78,60,18
black,78,48,30
consum,78,30,48
rebecca,78,77,1
sex,78,1,77
half,78,29,49
air,78,37,41
shown,77,29,48
enw,77,77,0
attend,77,64,13
gome,77,77,0
coordin,77,63,14
leader,77,30,47
ponton,77,77,0
transit,77,70,7
broker,77,40,37
tool,77,37,40
yesterday,76,68,8
btu,76,75,1
histori,76,29,47
draw,76,11,65
administr,76,55,21
gulf,76,73,3
enerfin,76,76,0
intrast,76,76,0
cell,76,66,10
appropri,76,68,8
christi,76,74,2
goal,75,32,43
mop,75,74,1
gift,75,52,23
blue,75,60,15
ext,75,68,7
neon,75,75,0
competit,75,16,59
dynegi,75,75,0
ceo,74,45,29
htm,74,30,44
hot,74,8,66
stori,74,20,54
rest,74,49,25
div,74,0,74
san,74,44,30
tisdal,74,74,0
relief,74,20,54
river,74,53,21
matt,74,66,8
dell,73,26,47
instal,73,47,26
assur,73,12,61
moopid,73,0,73
counti,73,63,10
resum,73,68,5
ye,73,52,21
none,73,23,50
hotlist,73,0,73
tetco,73,73,0
sheet,73,53,20
jill,72,70,2
paper,72,42,30
recommend,72,24,48
near,72,31,41
mckay,72,72,0
grant,72,66,6
advantag,72,23,49
situat,72,60,12
epson,72,2,70
quit,72,22,50
greater,71,55,16
california,71,56,15
kim,71,64,7
integr,71,19,52
structur,71,53,18
cours,71,43,28
fine,71,46,25
ago,71,37,34
asap,71,68,3
neuweil,71,71,0
hous,71,28,43
digit,71,15,56
copano,71,71,0
negoti,71,37,34
fwd,71,46,25
chad,71,68,3
delta,70,52,18
agenc,70,53,17
charlen,70,70,0
job,70,53,17
fun,70,34,36
whether,70,55,15
mill,70,64,6
holm,70,69,1
dvd,70,8,62
excit,70,42,28
stephen,70,67,3
gtc,69,69,0
exampl,69,30,39
louisiana,69,59,10
previous,69,61,8
sincer,69,27,42
search,69,20,49
fare,69,64,5
rule,69,44,25
mine,69,8,61
paragraph,69,26,43
daniel,69,67,2
drill,69,30,39
held,69,46,23
five,69,32,37
tufco,68,68,0
decis,68,33,35
htmlimg,68,0,68
media,68,22,46
svc,68,66,2
compar,68,13,55
xanax,68,0,68
outstand,68,34,34
greg,68,67,1
bad,68,30,38
olsen,68,68,0
exactli,68,9,59
kelli,68,68,0
rick,68,68,0
instant,68,14,54
panenergi,68,68,0
heidi,68,68,0
chri,68,67,1
petroleum,68,51,17
collect,68,37,31
heard,68,47,21
linda,67,65,2
serv,67,44,23
stand,67,42,25
manual,67,41,26
holiday,67,50,17
senior,67,52,15
prefer,67,37,30
histor,67,34,33
common,67,40,27
colspan,67,0,67
valadez,67,67,0
multipl,66,33,33
grow,66,16,50
region,66,37,29
certif,66,53,13
pinion,66,65,1
southern,66,56,10
evergreen,66,63,3
walter,66,60,6
environ,66,48,18
corel,66,0,66
entiti,66,52,14
assumpt,65,13,52
liquid,65,45,20
macromedia,65,0,65
exclus,65,16,49
welcom,65,48,17
eye,65,31,34
morgan,65,61,4
quarter,65,23,42
advertis,65,5,60
variou,65,32,33
compens,65,8,57
invit,65,43,22
west,65,48,17
rolex,65,0,65
similar,65,36,29
station,65,56,9
prc,65,60,5
bid,65,62,3
valium,64,0,64
brown,64,57,7
bit,64,31,33
author,64,33,31
est,64,26,38
annual,64,22,42
knle,64,0,64
local,64,17,47
cass,64,64,0
polici,64,46,18
hotel,64,50,14
analysi,64,56,8
car,64,22,42
hundr,64,7,57
owe,64,52,12
fri,64,50,14
came,64,41,23
women,63,5,58
brazo,63,63,0
huge,63,7,56
worth,63,21,42
summari,63,59,4
dth,63,63,0
acquir,63,9,54
avoid,63,25,38
foreign,63,4,59
unaccount,63,63,0
advisor,63,17,46
spinnak,63,61,2
categori,63,18,45
obtain,62,33,29
export,62,0,62
aug,62,47,15
correctli,62,60,2
iit,62,0,62
expand,62,31,31
trevino,62,61,1
red,62,28,34
intel,62,0,62
paul,62,58,4
demokrito,62,0,62
epgt,62,62,0
dalla,62,57,5
conflict,62,12,50
wast,62,3,59
winfre,62,62,0
clean,62,53,9
calendar,61,50,11
crosstex,61,61,0
goe,61,38,23
column,61,56,5
die,61,5,56
enterpris,61,12,49
maintain,61,42,19
own,61,30,31
win,61,16,45
wholesal,61,48,13
reveffo,61,61,0
troy,61,61,0
board,61,41,20
bought,61,34,27
ricki,61,58,3
delet,61,53,8
instead,61,46,15
remind,61,48,13
across,61,50,11
door,61,13,48
extens,61,44,17
pre,61,32,29
kenneth,61,53,8
sharehold,61,9,52
erect,60,0,60
sec,60,12,48
buyer,60,55,5
realloc,60,60,0
chairman,60,49,11
hanson,60,57,3
broadband,60,29,31
known,60,8,52
alert,60,6,54
lonestar,60,60,0
ibm,60,2,58
europ,60,30,30
martin,60,54,6
jackson,60,57,3
higher,60,32,28
logo,60,4,56
registr,60,40,20
focu,60,41,19
educ,60,26,34
usag,60,46,14
prod,60,59,1
screen,60,38,22
descript,59,38,21
calcul,59,37,22
wrong,59,38,21
award,59,18,41
golf,59,57,2
along,59,42,17
llc,59,47,12
encina,59,59,0
congratul,59,20,39
least,59,40,19
ew,59,59,0
combin,59,33,26
apr,59,49,10
launch,59,43,16
committe,59,50,9
schneider,59,57,2
cpr,59,59,0
mtr,59,59,0
specul,59,0,59
input,59,55,4
archer,58,56,2
varianc,58,58,0
cross,58,40,18
csiko,58,58,0
speed,58,21,37
lake,58,45,13
yvett,58,56,2
creativ,58,3,55
trademark,58,10,48
iii,58,11,47
texaco,58,55,3
altern,58,30,28
mainten,58,53,5
gold,58,1,57
equip,58,35,23
elect,58,52,6
recipi,58,56,2
harri,58,52,6
goliad,58,58,0
wilson,58,38,20
trip,58,41,17
drop,57,33,24
pager,57,57,0
jeffrey,57,56,1
wed,57,34,23
basin,57,39,18
primari,57,44,13
peni,57,1,56
hit,57,43,14
contribut,57,42,15
road,57,34,23
parent,57,40,17
rank,57,37,20
notif,57,26,31
billion,57,16,41
law,56,24,32
transmiss,56,42,14
children,56,13,43
break,56,17,39
usb,56,3,53
bankruptci,56,32,24
street,56,35,21
mcmill,56,56,0
captur,56,46,10
rnd,56,0,56
strategi,56,15,41
russ,56,55,1
discrep,56,53,3
rang,56,20,36
treat,56,23,33
interview,56,50,6
patti,56,55,1
sexual,56,2,54
engag,56,50,6
beati,55,55,0
met,55,42,13
intent,55,17,38
sullivan,55,51,4
afford,55,10,45
gdp,55,55,0
marta,55,55,0
kristen,55,55,0
solicit,55,4,51
swift,55,53,2
hillari,55,55,0
critic,55,42,13
brandywin,55,53,2
royal,55,50,5
jebel,55,0,55
coupon,55,26,29
movi,55,5,50
far,54,36,18
sit,54,38,16
eb,54,54,0
replac,54,49,5
gisb,54,54,0
automat,54,33,21
floor,54,45,9
procedur,54,36,18
ook,54,0,54
wife,54,12,42
popular,54,3,51
implement,54,47,7
experienc,54,32,22
percent,54,18,36
seen,54,26,28
hernandez,54,54,0
quickli,54,18,36
compaq,54,13,41
budget,54,42,12
preliminari,54,53,1
sweeney,54,54,0
walli,54,53,1
henderson,54,54,0
port,54,24,30
upgrad,54,29,25
texoma,54,54,0
extra,54,23,31
inher,53,1,52
citibank,53,20,33
seaman,53,53,0
cd,53,6,47
rais,53,21,32
mitchel,53,52,1
spend,53,26,27
hand,53,27,26
hawkin,53,52,1
baxter,53,52,1
gave,53,46,7
guess,53,40,13
sabra,53,52,1
insid,53,15,38
alt,52,0,52
telephon,52,15,37
wireless,52,3,49
father,52,17,35
cap,52,17,35
kathi,52,50,2
mazowita,52,52,0
lindley,52,52,0
memo,52,52,0
season,52,37,15
deposit,52,4,48
elimin,52,32,20
buddi,52,44,8
accomplish,52,42,10
singl,52,25,27
herein,52,11,41
signific,52,32,20
uniqu,52,3,49
earlier,52,43,9
sport,52,10,42
sap,51,49,2
client,51,18,33
joann,51,51,0
equiti,51,22,29
emerg,51,14,37
log,51,45,6
warn,51,26,25
restrict,51,44,7
amazon,51,45,6
six,51,27,24
yap,51,0,51
pgev,51,51,0
privaci,51,21,30
toward,51,21,30
extern,51,27,24
mayb,51,42,9
gra,51,1,50
dilig,50,13,37
suzann,50,50,0
separ,50,44,6
outsid,50,40,10
among,50,22,28
soni,50,4,46
insur,50,29,21
darial,50,0,50
confer,50,27,23
wonder,50,27,23
commod,50,42,8
somehow,50,6,44
smoke,50,2,48
inch,50,6,44
kinsey,50,50,0
canon,50,0,50
lowest,50,9,41
centana,50,50,0
discov,50,12,38
chemic,50,42,8
correspond,50,26,24
econom,50,29,21
highli,50,9,41
hull,50,49,1
art,49,10,39
charl,49,43,6
richmond,49,47,2
behalf,49,38,11
urgent,49,17,32
true,49,28,21
juno,49,47,2
commiss,49,31,18
cabl,49,10,39
sound,49,27,22
pertain,49,5,44
attempt,49,34,15
achiev,49,15,34
electron,49,33,16
minimum,49,32,17
nick,48,47,1
pena,48,48,0
previou,48,39,9
cowboy,48,47,1
bryce,48,47,1
realiz,48,37,11
decreas,48,41,7
mix,48,12,36
diamond,48,13,35
bottom,48,15,33
baseload,48,48,0
braband,48,48,0
lesli,48,47,1
davi,48,34,14
hplnol,48,48,0
carrier,48,27,21
cartwheel,48,46,2
villarr,48,48,0
steven,48,40,8
manufactur,48,1,47
membership,48,23,25
reliabl,48,9,39
lesson,48,44,4
understood,48,10,38
rather,48,37,11
msn,48,46,2
