,frequency,frequency_ham,frequency_spam,P(word),P(word|ham),P(word|spam)
call,930,781,149,0.0026992276725981952,0.003135450665831617,0.0015609285953737848
one,925,546,379,0.0026847156958637966,0.002192005203001361,0.003970415688903788
sale,898,725,173,0.0026063510214980423,0.002910629619369939,0.00181235333556822
follow,884,777,107,0.0025657174866417255,0.003119392019655783,0.0011209353000335234
use,875,519,356,0.0025395959285198074,0.0020836093413144803,0.003729466979550788
question,848,807,41,0.002461231254154053,0.003239831865974539,0.0004295172644988267
flow,844,821,23,0.0024496216727665342,0.0032960371275899585,0.00024094870935300033
robert,813,801,12,0.002359647417013261,0.0032157438967107877,0.00012571237009721757
juli,798,775,23,0.0023161114868100645,0.0031113626965678658,0.00024094870935300033
sitara,795,795,0,0.002307404300769425,0.0031916559274470365,0.0
email,791,362,429,0.002295794719381906,0.0014533074789129902,0.004494217230975528
file,790,719,71,0.002292892324035026,0.002886541650106188,0.0007437981897418706
want,778,533,245,0.002258063579872469,0.0021398146029299,0.002566627556151525
texa,761,731,30,0.0022087228589755124,0.0029347175886336903,0.0003142809252430439
look,758,436,322,0.0022000156729348732,0.0017503924331659219,0.0033732819309420046
ticket,736,717,19,0.002136162975303518,0.0028785123270182707,0.00019904458598726116
energi,736,610,126,0.002136162975303518,0.002448943541814707,0.0013199798860207845
work,729,483,246,0.0021158462078753595,0.0019390815257319732,0.00257710358699296
ectsubject,725,725,0,0.0021042366264878406,0.002910629619369939,0.0
list,720,520,200,0.0020897246497534414,0.002087624002858439,0.0020952061682869595
pec,709,709,0,0.002057798300937764,0.0028463950346666023,0.0
servic,704,445,259,0.002043286324203365,0.0017865243870615489,0.0027132919879316124
number,698,496,202,0.0020258719521220863,0.001991272125803434,0.002116158229969829
ena,693,693,0,0.0020113599753876876,0.002782160449963266,0.0
manag,681,541,140,0.0019765312312251303,0.0021719318952815683,0.0014666443178008716
report,670,403,267,0.0019446048824094525,0.0016179086022152902,0.002797100234663091
actual,652,594,58,0.0018923617661656166,0.0023847089571113708,0.0006076097888032182
origin,632,580,52,0.001834313859228021,0.002328503695495951,0.0005447536037546095
make,623,401,222,0.0018081923011061029,0.0016098792791273732,0.002325678846798525
net,621,426,195,0.0018023875104123434,0.0017102458177263365,0.0020428260140797853
order,621,379,242,0.0018023875104123434,0.0015215567251602854,0.002535199463627221
purchas,614,546,68,0.0017820707429841848,0.002192005203001361,0.0007123700972175662
receiv,606,436,170,0.0017588515802091466,0.0017503924331659219,0.0017809252430439155
take,583,385,198,0.0016920964872309116,0.0015456446944240366,0.00207425410660409
system,583,397,186,0.0016920964872309116,0.001593820632951539,0.0019485417365068722
busi,573,317,256,0.001663072533762114,0.0012726477094348561,0.0026818638954073082
back,571,417,154,0.0016572677430683543,0.0016741138638307097,0.0016133087495809589
contact,570,353,217,0.0016543653477214745,0.0014171755250173635,0.002273298692591351
effect,562,463,99,0.0016311461849464362,0.0018587882948528024,0.001037127053302045
market,562,299,263,0.0016311461849464362,0.0012003838016436024,0.0027551961112973517
per,552,435,117,0.0016021222314776386,0.0017463777716219635,0.0012256956084478712
help,550,433,117,0.0015963174407838789,0.0017383484485340463,0.0012256956084478712
schedul,541,532,9,0.001570195882661961,0.0021357999413859413,9.428427757291318e-05
provid,525,301,224,0.0015237575571118843,0.0012084131247315196,0.0023466309084813944
march,523,492,31,0.0015179527664181249,0.0019752134796276,0.0003247569560844787
includ,518,275,243,0.001503440789683726,0.0011040319245885976,0.0025456754944686555
avail,514,292,222,0.0014918312082962068,0.0011722811708358926,0.002325678846798525
account,507,291,216,0.0014715144408680484,0.0011682665092919342,0.002262822661749916
request,504,435,69,0.001462807254827409,0.0017463777716219635,0.000722846128059001
secur,503,76,427,0.0014599048594805292,0.0003051142773408488,0.004473265169292659
inc,502,246,256,0.0014570024641336495,0.0009876067398138,0.0026818638954073082
statement,501,80,421,0.0014541000687867697,0.00032117292351668293,0.004410408984244049
april,501,487,14,0.0014541000687867697,0.001955140171907807,0.00014666443178008715
deliveri,500,462,38,0.00145119767343989,0.0018547736333088438,0.0003980891719745223
stock,496,76,420,0.0014395880920523708,0.0003051142773408488,0.004399932953402615
sent,494,369,125,0.0014337833013586113,0.0014814101097207,0.0013095038551793497
alloc,494,492,2,0.0014337833013586113,0.0019752134796276,2.0952061682869596e-05
gari,490,488,2,0.0014221737199710922,0.0019591548334517658,2.0952061682869596e-05
mari,487,476,11,0.0014134665339304527,0.0019109788949242634,0.00011523633925578277
well,486,364,122,0.001410564138583573,0.0014613368020009072,0.0012780757626550453
first,486,343,143,0.001410564138583573,0.001377028909577778,0.001498072410325176
current,481,380,101,0.001396052161849174,0.0015255713867042438,0.0010580791149849146
trade,480,331,149,0.0013931497665022944,0.0013288529710502755,0.0015609285953737848
year,478,285,193,0.0013873449758085349,0.001144178540028183,0.0020218739523969157
week,478,345,133,0.0013873449758085349,0.001385058232665695,0.001393312101910828
set,477,406,71,0.001384442580461655,0.0016299525868471657,0.0007437981897418706
today,477,290,187,0.001384442580461655,0.0011642518477479756,0.0019590177673483073
offic,476,242,234,0.0013815401851147752,0.0009715480936379659,0.0024513912168957425
rate,474,329,145,0.0013757353944210157,0.0013208236479623585,0.0015190244720080456
transport,472,452,20,0.001369930603727256,0.0018146270178692585,0.00020952061682869594
bob,471,467,4,0.0013670282083803763,0.0018748469410286366,4.190412336573919e-05
issu,467,422,45,0.001355418626992857,0.0016941871715505025,0.00047142138786456585
base,463,297,166,0.0013438090456053381,0.0011923544785556854,0.0017390211196781763
line,463,265,198,0.0013438090456053381,0.0010638853091490123,0.00207425410660409
show,462,384,78,0.0013409066502584584,0.001541630032880078,0.0008171304056319141
font,461,2,459,0.0013380042549115785,8.029323087917072e-06,0.0048084981562185715
daili,461,440,21,0.0013380042549115785,0.001766451079341756,0.00021999664767013074
plant,459,442,17,0.001332199464217819,0.001774480402429673,0.00017809252430439154
free,457,179,278,0.0013263946735240595,0.000718624416368578,0.0029123365739188735
offer,456,160,296,0.0013234922781771795,0.0006423458470333659,0.0031009051290647
addit,443,365,78,0.0012857611386677425,0.0014653514635448658,0.0008171304056319141
oper,438,302,136,0.0012712491619333436,0.001212427786275478,0.0014247401944351324
name,438,301,137,0.0012712491619333436,0.0012084131247315196,0.0014352162252765672
invest,436,44,392,0.0012654443712395841,0.0001766451079341756,0.004106604089842441
custom,434,269,165,0.0012596395805458244,0.0010799439553248462,0.0017285450888367415
revis,431,424,7,0.0012509323945051852,0.0017022164946384195,7.333221589004358e-05
creat,429,378,51,0.0012451276038114255,0.0015175420636163268,0.0005342775729131747
teco,428,428,0,0.0012422252084645458,0.0017182751408142537,0.0
oil,415,284,131,0.0012044940689551087,0.0011401638784842244,0.0013723600402279585
nbsp,414,0,414,0.0012015916736082288,0.0,0.004337076768354006
activ,412,359,53,0.0011957868829144693,0.0014412634942811147,0.0005552296345960443
group,411,314,97,0.0011928844875675896,0.0012606037248029806,0.0010161749916191753
meet,408,350,58,0.0011841773015269501,0.0014051315403854879,0.0006076097888032182
june,405,384,21,0.001175470115486311,0.001541630032880078,0.00021999664767013074
tenaska,402,402,0,0.0011667629294456715,0.0016138939406713318,0.0
ami,402,397,5,0.0011667629294456715,0.001593820632951539,5.2380154207173984e-05
last,401,266,135,0.0011638605340987917,0.0010678999706929706,0.0014142641635936975
click,397,180,217,0.0011522509527112726,0.0007226390779125366,0.002273298692591351
point,397,352,45,0.0011522509527112726,0.0014131608634734049,0.00047142138786456585
process,394,280,114,0.0011435437666706333,0.0011241052323083902,0.0011942675159235668
north,393,348,45,0.0011406413713237534,0.0013971022172975707,0.00047142138786456585
vanc,391,390,1,0.001134836580629994,0.0015657180021438292,1.0476030841434798e-05
send,390,278,112,0.0011319341852831142,0.0011160759092204732,0.0011733154542406972
america,390,333,57,0.0011319341852831142,0.0013368822941381927,0.0005971337579617834
date,388,308,80,0.0011261293945893547,0.0012365157555392294,0.0008380824673147837
agreement,388,338,50,0.0011261293945893547,0.0013569556018579853,0.0005238015420717399
think,385,324,61,0.0011174222085487153,0.001300750340242566,0.0006390378813275226
januari,384,324,60,0.0011145198132018355,0.001300750340242566,0.0006285618504860878
within,383,107,276,0.0011116174178549558,0.00042956878520356343,0.002891384512236004
georg,375,365,10,0.0010883982550799174,0.0014653514635448658,0.00010476030841434797
less,371,277,94,0.0010767886736923983,0.0011120612476765146,0.000984746899094871
expect,370,146,224,0.0010738862783455185,0.0005861405854179463,0.0023466309084813944
next,368,250,118,0.001068081487651759,0.001003665385989634,0.001236171639289306
term,368,242,126,0.001068081487651759,0.0009715480936379659,0.0013199798860207845
houston,365,358,7,0.0010593743016111196,0.001437248832737156,7.333221589004358e-05
two,365,247,118,0.0010593743016111196,0.0009916214013577585,0.001236171639289306
confirm,362,294,68,0.0010506671155704804,0.0011803104939238098,0.0007123700972175662
fuel,362,351,11,0.0010506671155704804,0.0014091462019294463,0.00011523633925578277
save,360,99,261,0.0010448623248767207,0.00039745149285189515,0.002734244049614482
give,360,247,113,0.0010448623248767207,0.0009916214013577585,0.001183791485082132
address,360,197,163,0.0010448623248767207,0.0007908883241598317,0.001707593027153872
regard,360,240,120,0.0010448623248767207,0.0009635187705500488,0.0012571237009721757
note,357,293,64,0.0010361551388360815,0.0011762958323798512,0.0006704659738518271
pill,353,0,353,0.0010245455574485623,0.0,0.0036980388870264834
start,351,247,104,0.0010187407667548028,0.0009916214013577585,0.001089507207509219
path,349,348,1,0.0010129359760610432,0.0013971022172975707,1.0476030841434798e-05
height,348,2,346,0.0010100335807141634,8.029323087917072e-06,0.00362470667113644
plan,347,274,73,0.0010071311853672837,0.001100017263044639,0.0007647502514247402
enter,347,286,61,0.0010071311853672837,0.0011481932015721414,0.0006390378813275226
due,346,239,107,0.001004228790020404,0.0009595041090060902,0.0011209353000335234
total,344,274,70,0.0009984239993266442,0.001100017263044639,0.0007333221589004358
desk,342,327,15,0.0009926192086328848,0.0013127943248744415,0.00015714046262152196
tap,341,340,1,0.000989716813286005,0.0013649849249459025,1.0476030841434798e-05
fax,340,237,103,0.000986814417939125,0.0009514747859181732,0.0010790311766677842
come,339,234,105,0.0009839120225922453,0.0009394308012862975,0.0010999832383506538
find,334,222,112,0.0009694000458578465,0.0008912548627587951,0.0011733154542406972
updat,332,277,55,0.0009635952551640869,0.0011120612476765146,0.0005761816962789138
made,332,199,133,0.0009635952551640869,0.0007989176472477488,0.001393312101910828
smith,331,323,8,0.0009606928598172071,0.0012967356786986073,8.380824673147838e-05
jacki,330,328,2,0.0009577904644703274,0.0013168089864184,2.0952061682869596e-05
tri,329,212,117,0.0009548880691234476,0.0008511082473192098,0.0012256956084478712
link,329,126,203,0.0009548880691234476,0.0005058473545387756,0.0021266342608112637
pipelin,325,322,3,0.0009432784877359284,0.0012927210171546487,3.142809252430439e-05
place,324,218,106,0.0009403760923890487,0.0008751962165829609,0.0011104592691920886
size,323,16,307,0.0009374736970421689,6.423458470333658e-05,0.0032161414683204827
complet,322,215,107,0.0009345713016952891,0.0008631522319510854,0.0011209353000335234
onlin,321,86,235,0.0009316689063484094,0.0003452608927804341,0.0024618672477371775
melissa,320,320,0,0.0009287665110015295,0.0012846916940667317,0.0
problem,319,253,66,0.0009258641156546498,0.0010157093706215097,0.0006914180355346966
best,318,105,213,0.0009229617203077701,0.00042153946211564633,0.002231394569225612
continu,317,219,98,0.0009200593249608902,0.0008792108781269195,0.0010266510224606101
cotten,316,316,0,0.0009171569296140105,0.0012686330478908975,0.0
pat,315,315,0,0.0009142545342671306,0.001264618386346939,0.0
august,314,301,13,0.0009113521389202509,0.0012084131247315196,0.00013618840093865237
friday,313,285,28,0.0009084497435733711,0.001144178540028183,0.0002933288635601743
money,313,49,264,0.0009084497435733711,0.0001967184156539683,0.0027656721421387863
hour,313,182,131,0.0009084497435733711,0.0007306684010004536,0.0013723600402279585
enroncc,312,312,0,0.0009055473482264913,0.0012525744017150633,0.0
develop,312,183,129,0.0009055473482264913,0.0007346830625444122,0.001351407978545089
end,309,245,64,0.000896840162185852,0.0009835920782698415,0.0006704659738518271
check,309,232,77,0.000896840162185852,0.0009314014781983805,0.0008066543747904794
review,307,223,84,0.0008910353714920924,0.0008952695243027536,0.000879986590680523
octob,305,300,5,0.0008852305807983329,0.001204398463187561,5.2380154207173984e-05
util,303,285,18,0.0008794257901045733,0.001144178540028183,0.00018856855514582635
pay,303,191,112,0.0008794257901045733,0.0007668003548960805,0.0011733154542406972
lisa,300,299,1,0.000870718604063934,0.0012003838016436024,1.0476030841434798e-05
state,300,157,143,0.000870718604063934,0.0006303018624014903,0.001498072410325176
estim,300,206,94,0.000870718604063934,0.0008270202780554586,0.000984746899094871
chokshi,299,299,0,0.0008678162087170542,0.0012003838016436024,0.0
transact,299,238,61,0.0008678162087170542,0.0009554894474621317,0.0006390378813275226
gener,299,136,163,0.0008678162087170542,0.000545993969978361,0.001707593027153872
team,299,257,42,0.0008678162087170542,0.0010317680167973439,0.0004399932953402615
requir,296,169,127,0.0008591090226764148,0.0006784778009289926,0.0013304559168622193
interest,295,141,154,0.0008562066273295351,0.0005660672776981537,0.0016133087495809589
width,295,1,294,0.0008562066273295351,4.014661543958536e-06,0.0030799530673818304
special,295,100,195,0.0008562066273295351,0.00040146615439585364,0.0020428260140797853
project,292,97,195,0.0008474994412888958,0.00038942216976397805,0.0020428260140797853
home,291,158,133,0.0008445970459420159,0.0006343165239454488,0.001393312101910828
good,291,166,125,0.0008445970459420159,0.000666433816297117,0.0013095038551793497
taylor,290,288,2,0.0008416946505951362,0.0011562225246600586,2.0952061682869596e-05
resourc,289,255,34,0.0008387922552482564,0.0010237386937094269,0.0003561850486087831
futur,288,92,196,0.0008358898599013766,0.00036934886204418536,0.0020533020449212203
sure,288,249,39,0.0008358898599013766,0.0009996507244456757,0.00040856520281595707
person,287,185,102,0.0008329874645544969,0.0007427123856323293,0.0010685551458263494
aime,286,286,0,0.000830085069207617,0.0011481932015721414,0.0
counterparti,286,286,0,0.000830085069207617,0.0011481932015721414,0.0
david,286,280,6,0.000830085069207617,0.0011241052323083902,6.285618504860878e-05
move,286,192,94,0.000830085069207617,0.000770815016440039,0.000984746899094871
right,286,164,122,0.000830085069207617,0.0006584044932092,0.0012780757626550453
phone,285,181,104,0.0008271826738607373,0.0007266537394564951,0.001089507207509219
steve,284,283,1,0.0008242802785138575,0.0011361492169402658,1.0476030841434798e-05
copi,283,178,105,0.0008213778831669777,0.0007146097548246195,0.0010999832383506538
mani,282,91,191,0.0008184754878200979,0.0003653342005002268,0.002000921890714046
john,282,269,13,0.0008184754878200979,0.0010799439553248462,0.00013618840093865237
buy,281,160,121,0.0008155730924732181,0.0006423458470333659,0.0012675997318136105
still,281,220,61,0.0008155730924732181,0.000883225539670878,0.0006390378813275226
discuss,280,239,41,0.0008126706971263384,0.0009595041090060902,0.0004295172644988267
fee,280,252,28,0.0008126706971263384,0.0010116947090775513,0.0002933288635601743
peopl,279,165,114,0.0008097683017794586,0.0006624191547531586,0.0011942675159235668
internet,279,105,174,0.0008097683017794586,0.00042153946211564633,0.0018228293664096548
remov,279,50,229,0.0008097683017794586,0.00020073307719792682,0.0023990110626885687
high,279,115,164,0.0008097683017794586,0.0004616860775552317,0.0017180690579953067
increas,278,160,118,0.0008068659064325788,0.0006423458470333659,0.001236171639289306
septemb,277,261,16,0.000803963511085699,0.001047826662973178,0.00016761649346295676
susan,276,275,1,0.0008010611157388193,0.0011040319245885976,1.0476030841434798e-05
duke,276,272,4,0.0008010611157388193,0.001091987939956722,4.190412336573919e-05
mark,275,255,20,0.0007981587203919394,0.0010237386937094269,0.00020952061682869594
said,274,165,109,0.0007952563250450597,0.0006624191547531586,0.0011418873617163928
hplc,274,274,0,0.0007952563250450597,0.001100017263044639,0.0
megan,273,271,2,0.0007923539296981799,0.0010879732784127634,2.0952061682869596e-05
correct,271,257,14,0.0007865491390044204,0.0010317680167973439,0.00014666443178008715
result,270,61,209,0.0007836467436575405,0.0002448943541814707,0.0021894904458598726
suppli,268,234,34,0.0007778419529637811,0.0009394308012862975,0.0003561850486087831
site,267,95,172,0.0007749395576169012,0.00038139284667606095,0.0018018773047267852
michael,267,254,13,0.0007749395576169012,0.0010197240321654683,0.00013618840093865237
decemb,267,253,14,0.0007749395576169012,0.0010157093706215097,0.00014666443178008715
info,267,99,168,0.0007749395576169012,0.00039745149285189515,0.001759973181361046
hsc,267,267,0,0.0007749395576169012,0.0010719146322369292,0.0
spot,266,253,13,0.0007720371622700215,0.0010157093706215097,0.00013618840093865237
risk,266,116,150,0.0007720371622700215,0.00046570073909919026,0.0015714046262152196
detail,265,141,124,0.0007691347669231416,0.0005660672776981537,0.001299027824337915
monday,265,237,28,0.0007691347669231416,0.0009514747859181732,0.0002933288635601743
believ,265,117,148,0.0007691347669231416,0.00046971540064314875,0.00155045256453235
unit,264,172,92,0.0007662323715762619,0.0006905217855608682,0.0009637948374120013
control,264,176,88,0.0007662323715762619,0.0007065804317367024,0.0009218907140462622
way,263,165,98,0.0007633299762293821,0.0006624191547531586,0.0010266510224606101
feb,263,244,19,0.0007633299762293821,0.0009795774167258829,0.00019904458598726116
februari,262,254,8,0.0007604275808825023,0.0010197240321654683,8.380824673147838e-05
posit,262,137,125,0.0007604275808825023,0.0005500086315223195,0.0013095038551793497
tom,261,254,7,0.0007575251855356226,0.0010197240321654683,7.333221589004358e-05
global,261,220,41,0.0007575251855356226,0.000883225539670878,0.0004295172644988267
ask,261,212,49,0.0007575251855356226,0.0008511082473192098,0.0005133255112303051
differ,260,152,108,0.0007546227901887428,0.0006102285546816976,0.001131411330874958
go,259,193,66,0.000751720394841863,0.0007748296779839976,0.0006914180355346966
keep,258,178,80,0.0007488179994949832,0.0007146097548246195,0.0008380824673147837
cost,258,149,109,0.0007488179994949832,0.000598184570049822,0.0011418873617163928
novemb,257,246,11,0.0007459156041481034,0.0009876067398138,0.00011523633925578277
extend,257,220,37,0.0007459156041481034,0.000883225539670878,0.0003876131411330875
ship,257,89,168,0.0007459156041481034,0.00035730487741230977,0.001759973181361046
natur,256,181,75,0.0007430132088012236,0.0007266537394564951,0.0007857023131076098
industri,256,148,108,0.0007430132088012236,0.0005941699085058634,0.001131411330874958
lloyd,255,254,1,0.0007401108134543439,0.0010197240321654683,1.0476030841434798e-05
eastran,252,252,0,0.0007314036274137045,0.0010116947090775513,0.0
access,251,182,69,0.0007285012320668247,0.0007306684010004536,0.000722846128059001
put,251,204,47,0.0007285012320668247,0.0008189909549675415,0.0004923734495474355
perform,250,110,140,0.000725598836719945,0.000441612769835439,0.0014666443178008716
intern,249,72,177,0.0007226964413730652,0.00028905563116501465,0.0018542574589339592
support,249,176,73,0.0007226964413730652,0.0007065804317367024,0.0007647502514247402
possibl,248,193,55,0.0007197940460261854,0.0007748296779839976,0.0005761816962789138
young,248,207,41,0.0007197940460261854,0.0008310349395994171,0.0004295172644988267
jan,248,220,28,0.0007197940460261854,0.000883225539670878,0.0002933288635601743
aol,247,240,7,0.0007168916506793057,0.0009635187705500488,7.333221589004358e-05
sell,246,154,92,0.0007139892553324258,0.0006182578777696147,0.0009637948374120013
fyi,246,246,0,0.0007139892553324258,0.0009876067398138,0.0
even,244,126,118,0.0007081844646386662,0.0005058473545387756,0.001236171639289306
invoic,242,240,2,0.0007023796739449068,0.0009635187705500488,2.0952061682869596e-05
grave,242,236,6,0.0007023796739449068,0.0009474601243742146,6.285618504860878e-05
book,241,193,48,0.0006994772785980269,0.0007748296779839976,0.0005028494803888703
past,239,78,161,0.0006936724879042674,0.00031314360042876584,0.0016866409654710023
begin,239,195,44,0.0006936724879042674,0.0007828590010719146,0.0004609453570231311
brian,239,233,6,0.0006936724879042674,0.000935416139742339,6.285618504860878e-05
computron,238,0,238,0.0006907700925573876,0.0,0.0024932953402614817
softwar,237,35,202,0.0006878676972105079,0.00014051315403854878,0.002116158229969829
repli,237,74,163,0.0006878676972105079,0.0002970849542529317,0.001707593027153872
million,236,47,189,0.000684965301863628,0.00018868909256605123,0.001979969829031177
respons,236,202,34,0.000684965301863628,0.0008109616318796244,0.0003561850486087831
unifi,234,233,1,0.0006791605111698685,0.000935416139742339,1.0476030841434798e-05
clyne,234,234,0,0.0006791605111698685,0.0009394308012862975,0.0
wellhead,233,233,0,0.0006762581158229887,0.000935416139742339,0.0
align,233,13,220,0.0006762581158229887,5.219060007146097e-05,0.002304726785115655
power,233,134,99,0.0006762581158229887,0.0005379646468904439,0.001037127053302045
mobil,232,132,100,0.0006733557204761089,0.0005299353238025268,0.0010476030841434798
locat,232,175,57,0.0006733557204761089,0.0007025657701927439,0.0005971337579617834
employe,231,222,9,0.0006704533251292292,0.0008912548627587951,9.428427757291318e-05
news,231,39,192,0.0006704533251292292,0.00015657180021438292,0.002011397921555481
abl,230,179,51,0.0006675509297823494,0.000718624416368578,0.0005342775729131747
thursday,229,214,15,0.0006646485344354696,0.0008591375704071269,0.00015714046262152196
share,229,54,175,0.0006646485344354696,0.00021679172337376096,0.0018333053972510896
bill,228,166,62,0.0006617461390885898,0.000666433816297117,0.0006495139121689574
produc,228,174,54,0.0006617461390885898,0.0006985511086487853,0.000565705665437479
data,226,172,54,0.0006559413483948303,0.0006905217855608682,0.000565705665437479
txu,224,224,0,0.0006501365577010707,0.0008992841858467122,0.0
hplno,224,224,0,0.0006501365577010707,0.0008992841858467122,0.0
must,223,144,79,0.000647234162354191,0.0005781112623300293,0.0008276064364733489
act,223,28,195,0.000647234162354191,0.00011241052323083903,0.0020428260140797853
everi,221,116,105,0.0006414293716604314,0.00046570073909919026,0.0010999832383506538
demand,221,194,27,0.0006414293716604314,0.0007788443395279561,0.0002828528327187395
parti,221,119,102,0.0006414293716604314,0.00047774472373106585,0.0010685551458263494
great,220,120,100,0.0006385269763135515,0.0004817593852750244,0.0010476030841434798
advis,219,152,67,0.0006356245809666718,0.0006102285546816976,0.0007018940663761314
done,218,191,27,0.0006327221856197921,0.0007668003548960805,0.0002828528327187395
howard,218,217,1,0.0006327221856197921,0.0008711815550390024,1.0476030841434798e-05
agre,218,189,29,0.0006327221856197921,0.0007587710318081634,0.0003038048944016091
section,217,79,138,0.0006298197902729122,0.0003171582619727244,0.001445692256118002
form,217,144,73,0.0006298197902729122,0.0005781112623300293,0.0007647502514247402
face,216,22,194,0.0006269173949260325,8.83225539670878e-05,0.0020323499832383507
part,215,121,94,0.0006240149995791526,0.00048577404681898295,0.000984746899094871
meyer,215,214,1,0.0006240149995791526,0.0008591375704071269,1.0476030841434798e-05
center,215,117,98,0.0006240149995791526,0.00046971540064314875,0.0010266510224606101
window,215,47,168,0.0006240149995791526,0.00018868909256605123,0.001759973181361046
tuesday,214,196,18,0.0006211126042322729,0.0007868736626158732,0.00018856855514582635
lannou,214,214,0,0.0006211126042322729,0.0008591375704071269,0.0
much,214,120,94,0.0006211126042322729,0.0004817593852750244,0.000984746899094871
long,213,95,118,0.0006182102088853931,0.00038139284667606095,0.001236171639289306
visit,213,86,127,0.0006182102088853931,0.0003452608927804341,0.0013304559168622193
limit,212,115,97,0.0006153078135385133,0.0004616860775552317,0.0010161749916191753
option,211,157,54,0.0006124054181916336,0.0006303018624014903,0.000565705665437479
world,211,48,163,0.0006124054181916336,0.00019270375411000975,0.001707593027153872
commun,210,133,77,0.0006095030228447538,0.0005339499853464853,0.0008066543747904794
hank,209,205,4,0.000606600627497874,0.0008230056165115,4.190412336573919e-05
prior,209,146,63,0.000606600627497874,0.0005861405854179463,0.0006599899430103923
read,208,104,104,0.0006036982321509942,0.0004175248005716878,0.001089507207509219
without,208,87,121,0.0006036982321509942,0.00034927555432439267,0.0012675997318136105
get,207,144,63,0.0006007958368041144,0.0005781112623300293,0.0006599899430103923
record,206,144,62,0.0005978934414572346,0.0005781112623300293,0.0006495139121689574
program,206,96,110,0.0005978934414572346,0.0003854075082200195,0.0011523633925578276
gather,205,183,22,0.0005949910461103549,0.0007346830625444122,0.00023047267851156555
final,204,154,50,0.0005920886507634751,0.0006182578777696147,0.0005238015420717399
zero,204,184,20,0.0005920886507634751,0.0007386977240883707,0.00020952061682869594
lee,203,200,3,0.0005891862554165953,0.0008029323087917073,3.142809252430439e-05
dec,203,178,25,0.0005891862554165953,0.0007146097548246195,0.00026190077103586994
field,203,172,31,0.0005891862554165953,0.0006905217855608682,0.0003247569560844787
say,202,106,96,0.0005862838600697156,0.0004255541236596049,0.0010056989607777405
type,202,133,69,0.0005862838600697156,0.0005339499853464853,0.000722846128059001
via,202,98,104,0.0005862838600697156,0.0003934368313079366,0.001089507207509219
thing,202,119,83,0.0005862838600697156,0.00047774472373106585,0.0008695105598390882
