,frequency,frequency_ham,frequency_spam
answer,4375,2672,1703
variabl,4374,4270,104
eescapenumb,4368,1177,3191
win,4364,2062,2302
soon,4340,1857,2483
databas,4340,3569,771
law,4336,3055,1281
men,4319,478,3841
warn,4317,3492,825
involv,4312,1968,2344
viagra,4310,21,4289
profit,4308,1622,2686
braill,4304,4292,12
morn,4296,3177,1119
cours,4290,2638,1652
flag,4283,4067,216
implement,4282,2926,1356
prefer,4282,3294,988
immedi,4281,1621,2660
dept,4279,4123,156
concern,4277,3102,1175
altern,4276,3701,575
noth,4276,1337,2939
websvn,4272,4272,0
uwo,4272,4270,2
guarante,4270,938,3332
advic,4265,949,3316
express,4261,1735,2526
via,4247,2335,1912
thousand,4242,655,3587
idea,4236,2988,1248
accept,4231,1994,2237
experi,4214,1854,2360
letter,4202,1737,2465
propos,4202,3116,1086
patch,4196,2915,1281
partner,4180,1847,2333
director,4177,2737,1440
discount,4174,625,3549
regist,4172,1837,2335
section,4144,2047,2097
caus,4143,2164,1979
map,4129,3743,386
dollar,4124,1200,2924
offici,4111,2791,1320
employe,4099,3075,1024
third,4095,2015,2080
appli,4092,2861,1231
weight,4084,1044,3040
pro,4077,638,3439
condit,4077,2753,1324
hello,4075,2685,1390
anyth,4071,2349,1722
heimdal,4069,4069,0
properti,4058,2268,1790
away,4051,1523,2528
larg,4035,2609,1426
matter,4033,1625,2408
space,4023,2934,1089
improv,4022,1793,2229
trunk,4018,3937,81
modul,4018,3924,94
particip,4000,2197,1803
happen,3995,2402,1593
locat,3994,2710,1284
famili,3979,1763,2216
patent,3978,3415,563
uwaterloo,3977,1374,2603
though,3970,2304,1666
told,3958,1940,2018
cover,3956,2390,1566
etc,3955,3151,804
whether,3954,3234,720
specif,3951,2977,974
break,3949,2674,1275
school,3944,2267,1677
canadianpharmaci,3939,0,3939
estim,3922,2451,1471
drive,3920,1679,2241
wait,3919,1616,2303
yet,3909,2453,1456
benefit,3889,1580,2309
media,3885,1299,2586
repres,3884,2172,1712
uintescapenumb,3881,3881,0
bit,3874,2583,1291
left,3873,2065,1808
advanc,3871,2071,1800
clear,3871,2920,951
deliveri,3865,1669,2196
leav,3863,2128,1735
apr,3860,3396,464
expens,3853,1177,2676
david,3841,3460,381
later,3833,2393,1440
step,3829,2348,1481
debug,3813,3724,89
confer,3805,3371,434
tabl,3804,2939,865
depart,3802,2441,1361
opinion,3794,1736,2058
simpl,3789,2247,1542
configur,3787,3601,186
protect,3786,2316,1470
format,3781,2910,871
organ,3777,1886,1891
wind,3773,3045,728
materi,3769,1236,2533
far,3767,2385,1382
probabl,3761,3124,637
shop,3752,624,3128
hard,3751,2024,1727
easi,3748,1359,2389
plot,3744,3671,73
safe,3744,1068,2676
lock,3721,3235,486
appear,3714,2499,1215
deliv,3712,1165,2547
resourc,3711,2463,1248
asset,3708,3023,685
rpc,3708,3698,10
brand,3708,553,3155
prepar,3697,1678,2019
either,3694,2688,1006
oil,3692,1748,1944
xescapenumb,3690,2625,1065
length,3688,2672,1016
broker,3688,366,3322
least,3673,2626,1047
polici,3666,2728,938
hear,3656,1781,1875
latest,3653,2394,1259
thu,3652,2638,1014
load,3652,3048,604
kind,3651,1702,1949
indic,3649,2050,1599
enter,3643,1869,1774
firm,3639,2473,1166
remain,3631,2381,1250
accord,3629,2569,1060
earn,3626,1926,1700
factor,3619,2575,1044
insid,3614,2568,1046
white,3613,2081,1532
profil,3611,2210,1401
simpli,3610,1379,2231
replac,3603,3338,265
fals,3597,3354,243
push,3595,3073,522
privaci,3590,2543,1047
count,3586,2633,953
edit,3577,1354,2223
gain,3576,1115,2461
percent,3568,2858,710
press,3561,1720,1841
certain,3559,1420,2139
lose,3557,859,2698
default,3556,3330,226
anyon,3545,2783,762
php,3535,904,2631
jone,3524,3287,237
escapenumberonli,3522,0,3522
pull,3517,2781,736
upon,3512,1054,2458
loss,3512,1991,1521
lower,3509,1882,1627
volum,3497,2934,563
box,3492,1574,1918
sunday,3491,3228,263
amount,3488,1673,1815
decid,3477,1624,1853
ago,3467,1788,1679
louis,3454,3439,15
plant,3454,2785,669
other,3454,1775,1679
ticket,3449,2568,881
street,3448,2238,1210
game,3443,2038,1405
citi,3442,2087,1355
side,3438,1848,1590
exchang,3433,1999,1434
sun,3432,2345,1087
region,3431,1462,1969
fescapenumb,3431,1421,2010
period,3426,2411,1015
engin,3422,1644,1778
usr,3418,3333,85
bring,3418,1780,1638
hash,3413,3382,31
usa,3408,1911,1497
doc,3406,3333,73
longer,3405,1496,1909
speech,3393,3212,181
choos,3387,1135,2252
fill,3384,1270,2114
room,3377,2136,1241
capit,3377,1781,1596
main,3376,2681,695
art,3373,2231,1142
effort,3349,2117,1232
compil,3349,3152,197
respect,3346,1265,2081
confirm,3346,2193,1153
match,3344,2590,754
initi,3342,2704,638
frame,3337,2989,348
array,3331,3201,130
strong,3329,1159,2170
directori,3327,2869,458
seen,3325,1470,1855
someon,3314,2595,719
appreci,3302,2148,1154
night,3299,1660,1639
fast,3299,790,2509
enough,3297,1990,1307
instruct,3293,743,2550
analyst,3285,2703,582
rais,3279,1613,1666
intend,3267,1767,1500
five,3266,1479,1787
chanc,3254,1173,2081
yahoo,3249,1465,1784
pharmaci,3245,21,3224
entertain,3241,2193,1048
instead,3241,2359,882
card,3240,1125,2115
matrix,3236,3126,110
newslett,3233,1477,1756
soft,3226,179,3047
potenti,3220,1776,1444
individu,3208,2086,1122
reach,3206,1746,1460
rather,3205,2095,1110
svn,3196,3194,2
bool,3195,3192,3
field,3188,2139,1049
edu,3187,3112,75
saturday,3187,3048,139
macromedia,3187,28,3159
num,3183,3143,40
manufactur,3181,755,2426
fee,3177,1075,2102
memori,3177,2508,669
csescapenumb,3174,39,3135
cut,3173,2330,843
michael,3170,2829,341
correspond,3170,1594,1576
decis,3170,2364,806
happi,3156,1296,1860
sincer,3149,637,2512
plu,3148,1468,1680
fit,3146,2095,1051
late,3144,1621,1523
forc,3141,2064,1077
demand,3138,2289,849
washington,3136,2698,438
quit,3128,1853,1275
recommend,3112,1736,1376
robert,3110,2855,255
bbc,3110,2684,426
confidenti,3107,1138,1969
iraq,3094,2776,318
car,3094,1078,2016
bodi,3094,799,2295
ciali,3093,11,3082
ntstatu,3088,3088,0
ret,3084,3063,21
commerci,3082,1939,1143
canadian,3079,519,2560
normal,3075,1896,1179
integr,3074,1543,1531
rule,3070,2250,820
grow,3057,1032,2025
readi,3052,887,2165
config,3051,3020,31
structur,3051,2519,532
interfac,3048,2060,988
war,3047,2183,864
administr,3047,2662,385
med,3041,162,2879
rememb,3037,1048,1989
bescapenumb,3036,755,2281
mem,3032,3011,21
mention,3031,1723,1308
like,3026,2164,862
north,3015,2164,851
rang,3008,1557,1451
food,3005,872,2133
museum,3004,2915,89
canada,3004,1419,1585
mike,3001,2733,268
eye,3001,965,2036
speedi,2999,1368,1631
static,2997,2944,53
dow,2996,2796,200
entri,2992,2550,442
mind,2982,1108,1874
suppli,2967,1973,994
sec,2955,2078,877
krbescapenumb,2951,2951,0
publish,2946,1486,1460
correct,2943,2496,447
languag,2935,2332,603
student,2934,2461,473
travel,2929,1096,1833
tonight,2929,2503,426
san,2914,1965,949
drop,2912,2076,836
interview,2911,2581,330
south,2908,1607,1301
children,2904,724,2180
scienc,2902,2142,760
paid,2896,949,1947
steve,2892,2405,487
growth,2884,973,1911
sport,2883,1985,898
road,2882,1597,1285
argument,2877,2588,289
union,2874,982,1892
color,2874,1141,1733
tue,2849,2011,838
lo,2844,1448,1396
cabl,2841,2420,421
troubl,2839,2190,649
creativ,2838,490,2348
came,2833,1104,1729
texa,2828,2394,434
wonder,2827,1621,1206
winbindd,2826,2826,0
popular,2823,479,2344
worldwid,2823,499,2324
obj,2819,2811,8
der,2812,699,2113
que,2809,1063,1746
enjoy,2808,765,2043
board,2807,1833,974
environ,2805,1945,860
appl,2805,1308,1497
pillescapenumb,2801,0,2801
bad,2798,1782,1016
column,2796,2651,145
sampl,2793,1993,800
digit,2787,1263,1524
merg,2780,2723,57
four,2771,1729,1042
forecast,2770,2573,197
depend,2763,2175,588
situat,2760,1546,1214
gift,2758,441,2317
extend,2744,1753,991
kill,2743,1626,1117
chief,2741,2313,428
along,2736,1818,918
output,2735,2622,113
definit,2731,1755,976
western,2730,690,2040
laptop,2729,2496,233
march,2726,1998,728
calcul,2726,1733,993
court,2724,2375,349
similar,2723,1740,983
commiss,2721,1911,810
photoshop,2718,36,2682
mime,2718,2395,323
lowest,2718,350,2368
analysi,2710,2312,398
machin,2710,2027,683
mac,2709,713,1996
whole,2699,1248,1451
reduc,2699,1617,1082
london,2696,2187,509
togeth,2695,1873,822
fire,2683,1675,1008
escapenumberth,2680,1660,1020
summer,2678,1670,1008
compar,2665,1642,1023
debt,2664,2061,603
flow,2664,2199,465
descapenumbers,2663,0,2663
necessari,2660,1402,1258
took,2656,1241,1415
valid,2654,1960,694
tridg,2653,2653,0
pick,2645,1326,1319
wrong,2644,1752,892
almost,2643,1159,1484
mailto,2640,2411,229
hundr,2629,479,2150
identifi,2624,1550,1074
affili,2618,705,1913
pars,2612,2588,24
voic,2609,894,1715
everyth,2603,1344,1259
everyon,2602,1658,944
font,2596,844,1752
sum,2596,1313,1283
singl,2591,1685,906
meter,2587,2519,68
women,2585,883,1702
hot,2582,651,1931
blog,2582,2300,282
candid,2578,1796,782
measur,2577,1845,732
aid,2574,1898,676
commit,2574,1579,995
near,2574,1229,1345
purpos,2571,1320,1251
attent,2570,773,1797
foreign,2567,762,1805
draw,2565,1119,1446
huge,2564,659,1905
among,2562,1423,1139
reliabl,2562,721,1841
investig,2560,1859,701
paul,2556,2154,402
nice,2549,1138,1411
former,2538,2180,358
half,2536,1075,1461
wide,2532,892,1640
serv,2526,1305,1221
trader,2520,2235,285
went,2520,941,1579
studi,2519,1589,930
often,2518,1045,1473
sound,2517,1271,1246
doctor,2513,441,2072
pescapenumb,2511,2417,94
approach,2509,1951,558
except,2508,1821,687
premier,2502,236,2266
seek,2501,1298,1203
entir,2501,1218,1283
init,2497,2489,8
escapenumberf,2496,1174,1322
smbd,2494,2493,1
quarter,2494,1891,603
cach,2494,2427,67
paper,2488,1610,878
stand,2484,1024,1460
pgp,2482,2429,53
cent,2482,1900,582
negoti,2472,1645,827
andrew,2468,2333,135
feder,2467,1673,794
mobil,2464,1211,1253
directli,2458,1302,1156
consult,2457,1143,1314
quick,2457,1194,1263
china,2455,1054,1401
charact,2455,2034,421
pipe,2453,2196,257
studio,2452,383,2069
avoid,2450,1278,1172
basic,2442,2024,418
topic,2440,2138,302
var,2439,2360,79
mayb,2436,1848,588
god,2436,248,2188
node,2435,2378,57
consum,2433,1327,1106
sort,2431,1760,671
advis,2429,1215,1214
archiv,2424,2194,230
senat,2421,2305,116
graphic,2421,1195,1226
trust,2419,1321,1098
choic,2419,1067,1352
yesterday,2418,2150,268
tax,2415,1589,826
jame,2414,2153,261
fall,2413,1593,820
committe,2409,2018,391
train,2399,1537,862
zero,2398,2177,221
nick,2395,2334,61
light,2394,1107,1287
password,2392,1965,427
age,2391,915,1476
stay,2391,1227,1164
alloc,2391,2308,83
header,2388,2253,135
figur,2387,1563,824
tel,2385,1486,899
obtain,2385,1224,1161
averag,2377,1523,854
wed,2370,1920,450
track,2369,1430,939
panel,2368,1865,503
william,2365,2001,364
tree,2359,1561,798
stuff,2358,1128,1230
owner,2354,1168,1186
incom,2353,1127,1226
medicin,2351,1550,801
mon,2346,1967,379
januari,2339,1709,630
moment,2331,807,1524
row,2329,2136,193
timestamp,2329,2323,6
collect,2324,1510,814
wall,2322,1717,605
welcom,2318,1154,1164
hit,2317,1433,884
histori,2313,1162,1151
host,2312,1681,631
determin,2306,1740,566
revenu,2304,1053,1251
statist,2300,2085,215
girl,2299,333,1966
known,2299,1178,1121
url,2298,1900,398
fri,2296,1976,320
txt,2292,2234,58
air,2290,1014,1276
bug,2289,1997,292
titl,2287,1252,1035
sub,2287,2095,192
knowledg,2283,1159,1124
unknown,2281,1923,358
grant,2277,1641,636
capac,2276,2077,199
speak,2275,1353,922
cell,2271,1771,500
sold,2269,1069,1200
wire,2269,1364,905
extra,2268,1026,1242
ensur,2264,1549,715
session,2260,2002,258
ldb,2258,2258,0
googl,2253,1834,419
award,2248,1270,978
interact,2244,1885,359
independ,2234,1199,1035
tmp,2234,1626,608
devic,2229,1375,854
across,2226,1388,838
held,2224,1321,903
str,2223,2189,34
desk,2223,1544,679
attempt,2220,1395,825
cli,2220,2126,94
essenti,2219,1989,230
tortur,2219,2171,48
spend,2218,1101,1117
excel,2216,1085,1131
democrat,2216,2020,196
sunni,2208,2130,78
numer,2204,1728,476
previou,2203,1214,989
tab,2193,529,1664
smith,2188,1732,456
enabl,2182,1300,882
ee,2178,2178,0
perhap,2176,1406,770
committ,2173,2139,34
combin,2170,1567,603
mmbtu,2165,2165,0
music,2162,1165,997
lay,2159,1647,512
signatur,2157,1980,177
pipelin,2157,2105,52
alia,2156,1932,224
fine,2152,1619,533
eat,2152,256,1896
taken,2150,1315,835
con,2149,720,1429
mode,2140,1698,442
rise,2135,731,1404
campaign,2133,1507,626
assum,2131,1879,252
del,2131,963,1168
acrobat,2129,183,1946
iso,2128,1847,281
submit,2127,1291,836
europ,2127,1223,904
lon,2124,1901,223
display,2121,1543,578
vista,2120,628,1492
goal,2118,950,1168
pictur,2116,942,1174
msg,2114,2055,59
water,2113,1148,965
est,2111,893,1218
screen,2110,1512,598
death,2110,919,1191
auth,2108,2103,5
multipl,2106,1309,797
block,2103,1548,555
critic,2099,1735,364
role,2099,1907,192
particular,2097,1574,523
red,2095,1170,925
west,2093,1632,461
bob,2090,1947,143
establish,2090,847,1243
confid,2089,1117,972
worth,2085,1100,985
plain,2084,1255,829
introduc,2084,750,1334
viewcv,2084,2084,0
launch,2083,1619,464
speed,2078,1129,949
variou,2075,1260,815
equiti,2074,1316,758
young,2067,776,1291
provis,2067,1576,491
len,2065,1999,66
deposit,2063,176,1887
practic,2061,1379,682
kitchen,2061,1933,128
jeff,2056,1769,287
prior,2054,1329,725
und,2054,365,1689
sorri,2054,1512,542
clean,2053,1530,523
child,2053,1455,598
msn,2052,1759,293
octob,2051,1830,221
balanc,2049,1509,540
nsswitch,2045,2045,0
competit,2043,1264,779
seri,2041,1527,514
lost,2040,1260,780
predict,2039,1219,820
strategi,2038,1307,731
loan,2031,733,1298
gnu,2029,1949,80
wife,2024,571,1453
htm,2021,1785,236
none,2021,1108,913
dvd,2021,558,1463
reader,2016,892,1124
agent,2013,401,1612
dbcap,2010,2010,0
advantag,2010,687,1323
sat,2009,1310,699
escapenumberfc,2006,1997,9
pdf,2003,1890,113
core,2000,1691,309
august,1998,1721,277
prescript,1995,115,1880
occur,1992,950,1042
attend,1991,1668,323
centr,1989,506,1483
ena,1986,1985,1
explain,1985,1426,559
separ,1982,1619,363
staff,1980,1375,605
cloudi,1979,1886,93
port,1978,1558,420
tom,1977,1680,297
premium,1977,548,1429
echo,1976,1895,81
decemb,1975,1603,372
reg,1974,1821,153
escapenumberfsamba,1971,1971,0
quot,1971,1247,724
attack,1970,1048,922
acl,1967,1954,13
black,1966,980,986
pound,1966,305,1661
glad,1966,431,1535
explor,1963,860,1103
element,1962,1459,503
para,1961,367,1594
la,1961,632,1329
uniqu,1960,824,1136
effici,1959,1124,835
opt,1958,1364,594
enhanc,1956,512,1444
discov,1954,620,1334
gone,1954,544,1410
park,1953,1368,585
ceo,1952,1259,693
heard,1951,803,1148
although,1948,1485,463
guy,1946,1197,749
floor,1945,1069,876
leader,1934,1378,556
bid,1929,1691,238
transmiss,1927,1392,535
termin,1923,1662,261
tescapenumb,1923,637,1286
signific,1922,1288,634
